520,钵钵鸡（小份）,13,家园二层,套餐 中辣
521,香辣锡纸烤鱼,14,家园二层,套餐 中辣
522,中辣锡纸烤鱼,14,家园二层,套餐 中辣
523,蒜香锡纸烤鱼,14,家园二层,套餐 微辣
524,土豆牛肉,18,家园二层,荤
525,元宝肉,18,家园二层,荤
526,口水鸡,14,家园二层,荤
527,成都冒鸭,14,家园二层,荤
528,中辣豆花鱼片,16,家园二层,套餐
529,藤椒豆花鱼片,16,家园二层,套餐
530,藤椒豆花里脊,14,家园二层,套餐
531,中辣豆花里脊,14,家园二层,套餐
532,藤椒豆花鸡片,13,家园二层,套餐
533,中辣豆花鸡片,13,家园二层,套餐
534,藤椒豆花肥牛,18,家园二层,套餐
535,中辣豆花肥牛,18,家园二层,套餐
536,肉末豆花,9,家园二层,套餐
537,藤椒豆花肥肠,18,家园二层,套餐
538,中辣豆花肥肠,18,家园二层,套餐
539,香菇炒饭,12,家园二层,主食
540,咖喱炒饭,12,家园二层,主食
541,海苔炒饭,13,家园二层,主食
542,水煮豆皮,8,家园二层,中辣
543,老干妈炒鸡蛋,10,家园二层,微辣
544,番茄日本豆腐,12,家园二层,素
545,干锅土豆片,8,家园二层,中辣
546,炝炒圆生菜,6,家园二层,素
547,炸蘑菇,8,家园二层,素
548,番茄炒鸡蛋,8,家园二层,荤
549,菠菜炒鸡蛋,8,家园二层,荤
550,木耳小白菜,6,家园二层,素
551,湘味豆腐,7,家园二层,微辣
552,地三鲜,7,家园二层,素
553,炒刀削面,10,家园二层,主食 中辣
554,烤冷面,6,家园二层,微辣 等待制作
555,麻酱素什锦,8,家园二层,素
556,蒸蔬菜,5,家园二层,素
557,加州牛肉面/米粉,16,家园二层,主食
558,岐山臊子面/米粉,12,家园二层,主食 微辣
559,重庆小面/米粉,7,家园二层,主食 中辣
560,香菇鸡肉面/米粉,13,家园二层,主食
561,酸菜肉酱面/米粉,11,家园二层,主食 微辣
562,贵州肠旺面/米粉,16,家园二层,主食 微辣
563,茄丁打卤面/米粉,8,家园二层,主食
564,炸酱面,10,家园二层,主食
565,鸡蛋西红柿面/米粉,7,家园二层,主食
566,红烧排骨面/米粉,16,家园二层,主食
567,肥肠面/米粉,16,家园二层,主食
568,葱油拌面/米粉,6,家园二层,主食
569,重庆肉酱小面,12,家园二层,中辣
570,重庆牛肉小面,16,家园二层,中辣
571,重庆排骨小面,16,家园二层,中辣
572,重庆肥肠小面,16,家园二层,中辣
573,辣子鸡拌面,14,家园二层,主食
574,乌鸡米线,16,家园二层,主食
575,藤椒五谷鱼粉,15,家园二层,主食 微辣
576,番茄五谷鱼粉,15,家园二层,主食
577,中辣五谷鱼粉,15,家园二层,主食 中辣
578,小锅藤椒方便面,10,家园二层,主食 微辣
579,小锅红烧方便面,10,家园二层,主食
580,老坛酸菜方便面,10,家园二层,主食 微辣
581,小锅土豆粉,13,家园二层,主食 微辣
582,小锅骨汤米线,12,家园二层,主食
583,油泼面,8,家园二层,主食 微辣
584,炸酱面,10,家园二层,主食
585,杭帮肥牛饭（大份）,19,家园二层,套餐
586,杭帮肥牛饭（小份）,12,家园二层,套餐
587,杭帮鸡腿饭（大份）,15,家园二层,套餐
588,杭帮鸡腿饭（小份）,9,家园二层,套餐
589,杭帮鸭腿饭（大份）,15,家园二层,套餐
590,杭帮鸭腿饭（小份）,11,家园二层,套餐
591,杭帮五花肉饭（大份）,17,家园二层,套餐
592,杭帮五花肉饭（小份）,12,家园二层,套餐
593,杭帮狮子头饭（大份）,14,家园二层,套餐
594,杭帮狮子头饭（小份）,9,家园二层,套餐
595,杭州卤鸭饭,13,家园二层,套餐
596,葱油鸡腿饭,13,家园二层,套餐
597,鸭血粉丝汤,12,家园二层,荤
598,蒜香芝麻鸡,14,家园二层,荤
599,西红柿炖牛肉,18,家园二层,荤
600,铁锅炒鸡,16,家园二层,荤
601,徐州爆辣米线,8,家园二层,主食
602,徐州爆辣肉末米线,12,家园二层,主食
603,徐州爆辣牛肉米线,18,家园二层,主食
604,酸汤黑鱼片,16,家园二层,套餐 微辣
605,酸汤肥牛,16,家园二层,套餐 微辣
606,酸汤肥羊,16,家园二层,套餐 微辣
607,鸭血粉丝汤,12,家园二层,荤
608,烤肠,3,家园二层,荤
609,炸鸡腿,6,家园二层,荤
610,鹌鹑蛋烧肉,14,家园二层,荤
611,板栗烧鸡块,13,家园二层,荤
612,腊肠玉米粒,14,家园二层,荤
613,木耳炒快菜,6,家园二层,素
614,香菇土豆片,8,家园二层,素
615,番茄圆白菜,6,家园二层,素
616,豉汁芥兰,7,家园二层,素
617,咸蛋黄豆腐,8,家园二层,荤
618,滑蛋牛扒,14,家园二层,荤
619,白菜炖豆腐,3,家园二层,素
620,杂粮饭,1,家园二层,主食
