129,雪梨银耳汤,1.5,农园一层,汤
130,原味地道肠,5,农园一层,荤
131,黑椒地道肠,3,农园一层,荤 微辣
132,宜宾燃面(小份),7,农园一层,主食 中辣
133,宜宾燃面(中份),8,农园一层,主食 中辣
134,宜宾燃面(大份),9,农园一层,主食 中辣
135,宜宾燃面(中份加肉),7,农园一层,主食 荤 中辣
136,卤鸡蛋,1,农园一层,荤
137,朝鲜冷面,12,农园一层,套餐
138,扒肉条,5,农园一层,荤
139,卤尖椒,1.5,农园一层,素
140,淮安肉饼,4,农园一层,主食 荤
141,鸡蛋西红柿刀削面,8,农园一层,套餐
142,红烧牛肉刀削面,16,农园一层,套餐
143,酱大排,12,农园一层,荤
144,猪肉臊子刀削面,12,农园一层,套餐
145,红烧排骨面,16,农园一层,套餐
146,香辣肥肠面,16,农园一层,套餐 微辣
147,炸酱面,10,农园一层,主食
148,鸡汤馄饨面,10,农园一层,套餐
149,家常水饺,7.5,农园一层,主食
150,红油抄手,10,农园一层,套餐
