"1,招牌鱼砂锅饭,18元/份,家园三楼,套餐 等待"
"2,群菇砂锅饭,13元/份,家园三楼,套餐 等待"
"3,脆骨肠砂锅饭,16元/份,家园三楼,套餐 等待"
"4,培根砂锅饭,15元/份,家园三楼,套餐 等待"
"5,鸡肉砂锅饭,18元/份,家园三楼,套餐 等待"
"6,肥牛砂锅饭,20元/份,家园三楼,套餐 等待"
"7,卤牛腩煲仔饭,25元/份,家园三楼,套餐 等待"
"8,排骨煲仔饭,25元/份,家园三楼,套餐 等待"
"9,叉烧煲仔饭,18元/份,家园三楼,套餐 等待"
"10,广式腊肠煲仔饭,16元/份,家园三楼,套餐 等待"
"11,咸鱼鸡粒茄子煲仔饭,12元/份,家园三楼,套餐 等待"
"12,腊味菌菇煲仔饭,16元/份,家园三楼,套餐 等待"
"13,盐焗鸡煲仔饭,14元/份,家园三楼,套餐 等待"
"14,豉油鸡煲仔饭,16元/份,家园三楼,套餐 等待"
"15,干煸仔鸡饭,12元/份,家园三楼,套餐"
"16,飘香卤肉饭,12元/份,家园三楼,套餐"
"17,干锅菌菇饭,15元/份,家园三楼,套餐"
"18,农家小炒肉饭,15元/份,家园三楼,套餐"
"19,锅包肉饭,16元/份,家园三楼,套餐"
"20,金汤肥牛饭,18元/份,家园三楼,套餐"
"21,炒烤肥牛饭,18元/份,家园三楼,套餐"
"22,酸菜鸭汤饭,12元/份,家园三楼,套餐"
"23,梅菜扣肉饭,12元/份,家园三楼,套餐"
"24,藤椒肉片饭,12元/份,家园三楼,套餐"
"25,香辣鸡腿饭,7元/份,家园三楼,套餐"
"26,宫保鸡丁饭,7元/份,家园三楼,套餐"
"27,咖喱牛肉饭,7元/份,家园三楼,套餐"
"28,红烩牛肉饭,7元/份,家园三楼,套餐"
"29,然香炒烤肉饭,9元/份,家园三楼,套餐"
"30,水煮滑肉饭,10元/份,家园三楼,套餐"
"31,爆汁鸡排饭,14元/份,家园三楼,套餐"
"32,杏鲍姑滑鸡饭,12元/份,家园三楼,套餐"
"33,川香血旺饭,12元/份,家园三楼,套餐"
"34,肉末酱茄子饭,9元/份,家园三楼,套餐"
"35,蕉叶烤鱼饭,15元/份,家园三楼,套餐"
"36,麻辣香锅饭,14元/份,家园三楼,套餐"
"37,炸鸡串,3元/串,家园三楼,"
"38,干炸小丸子,5元/串,家园三楼,"
"39,脆皮炸鲜奶,8元/份,家园三楼,"
"40,羊肉汤,16元/份,家园三楼,汤"
"41,芝麻烧饼,2元/个,家园三楼,"
"42,锡纸虾仁芝士焗饭,18元/份,家园三楼,套餐"
"43,锡纸培根芝士焗饭,16元/份,家园三楼,套餐"
"44,锡纸咖喱鸡焗饭,15元/份,家园三楼,套餐"
"45,原味肠粉,5.5元/份,家园三楼,套餐"
"46,肉末鸡蛋肠粉,8元/份,家园三楼,套餐"
"47,培根肠粉,12元/份,家园三楼,套餐"
"48,煌上煌腊味肠粉,15元/份,家园三楼,套餐"
"49,鲜虾肠粉,16元/份,家园三楼,套餐"
"50,凉拌牛肉米线,18元/份,家园三楼,套餐"
"51,凉拌鸡肉米线,13元/份,家园三楼,套餐"
"52,醒糟小圆子,3元/碗,家园三楼,"
"53,奶油菇汤,6元/碗,家园三楼,汤"
"54,香酥鸡翅,6元/份,家园三楼,"
